booking_id,user_id,destination,booking_date,travel_date,price,currency,booking_status
1,1740,Chicago,2025-08-21,2025-10-15,1202.27,GBP,cancelled
2,6978,Washington,2025-07-23,2025-08-15,1712.79,EUR,pending
3,8639,Chicago,2025-04-09,2025-05-03,980.16,USD,confirmed
4,6663,Chicago,2025-09-26,2025-10-25,489.8,EUR,confirmed
5,2931,Miami,2025-09-08,2025-10-27,672.65,GBP,confirmed
6,4745,Chicago,2025-03-15,2025-04-03,189.44,EUR,pending
7,7229,Los Angeles,2025-12-02,2026-01-31,652.72,USD,cancelled
8,3342,New York,2025-07-15,2025-08-09,933.6,USD,confirmed
9,6607,Los Angeles,2025-08-07,2025-10-02,1273.73,EUR,cancelled
10,6270,Chicago,2025-06-24,2025-06-30,1390.9,EUR,confirmed
11,6599,Seattle,2025-01-22,2025-03-04,719.92,GBP,confirmed
12,4202,New York,2025-02-04,2025-04-01,1107.69,USD,confirmed
13,1976,Los Angeles,2025-10-16,2025-11-07,1538.72,USD,pending
14,4001,Washington,2025-10-10,2025-10-12,808.44,EUR,cancelled
15,8852,Los Angeles,2025-01-14,2025-01-22,1257.11,USD,pending
16,6882,Washington,2025-02-12,2025-03-28,312.18,EUR,pending
17,8881,New York,2025-09-12,2025-10-09,1516.81,USD,pending
18,7377,Los Angeles,2025-01-07,2025-02-09,1329.24,EUR,cancelled
19,5689,Chicago,2025-04-08,2025-04-17,1253.98,GBP,pending
20,9587,New York,2025-05-18,2025-05-30,646.3,USD,pending
21,9902,Chicago,2025-09-20,2025-11-04,882.5,GBP,pending
22,2563,New York,2025-01-19,2025-02-27,1999.62,GBP,confirmed
23,6140,Miami,2025-07-16,2025-09-14,1224.29,GBP,cancelled
24,2651,Chicago,2025-10-09,2025-10-18,1066.52,GBP,cancelled
25,8309,Seattle,2025-12-26,2026-02-05,1490.61,EUR,confirmed
26,3612,Miami,2025-02-28,2025-03-17,487.9,USD,confirmed
27,2442,New York,2025-06-27,2025-07-28,706.25,GBP,cancelled
28,2741,Chicago,2025-02-22,2025-03-01,1906.95,GBP,confirmed
29,5819,Seattle,2025-10-06,2025-10-31,998.5,EUR,confirmed
30,5962,Los Angeles,2025-11-03,2025-12-19,1631.96,GBP,pending
31,4150,New York,2025-02-10,2025-02-18,872.84,EUR,cancelled
32,3491,Los Angeles,2025-07-01,2025-07-13,239.67,EUR,cancelled
33,5415,Seattle,2025-07-04,2025-08-12,879.49,GBP,confirmed
34,1107,New York,2025-07-06,2025-07-24,744.06,GBP,cancelled
35,8876,Washington,2025-02-17,2025-04-02,1954.77,USD,pending
36,2692,Chicago,2025-06-17,2025-07-12,157.77,GBP,pending
37,5726,Chicago,2025-07-21,2025-09-11,333.63,EUR,pending
38,2460,Washington,2025-08-16,2025-10-09,1172.01,EUR,confirmed
39,1130,Los Angeles,2025-05-24,2025-07-17,280.96,USD,confirmed
40,1623,Miami,2025-07-12,2025-07-19,409.66,USD,pending
41,8819,Seattle,2025-09-16,2025-10-12,645.49,GBP,cancelled
42,9012,Seattle,2025-03-13,2025-03-21,895.78,EUR,confirmed
43,8625,Los Angeles,2025-06-08,2025-08-04,229.27,GBP,cancelled
44,5870,Chicago,2025-08-06,2025-09-25,941.0,EUR,cancelled
45,8393,Washington,2025-10-02,2025-11-12,1301.0,GBP,pending
46,3153,Washington,2025-03-29,2025-04-29,273.61,GBP,cancelled
47,9109,New York,2025-01-26,2025-02-24,848.85,GBP,confirmed
48,5696,Los Angeles,2025-12-07,2026-01-10,1817.76,GBP,confirmed
49,1735,Los Angeles,2025-02-22,2025-03-18,1394.63,EUR,cancelled
50,4132,Washington,2025-02-09,2025-02-21,1610.4,EUR,pending
51,1587,New York,2025-04-26,2025-06-03,398.35,GBP,pending
52,7324,Los Angeles,2025-06-10,2025-07-31,1439.86,GBP,cancelled
53,2941,Seattle,2025-01-24,2025-02-04,561.15,GBP,cancelled
54,5401,Los Angeles,2025-11-21,2025-11-25,1268.47,USD,cancelled
55,3501,Seattle,2025-07-09,2025-08-26,1994.19,GBP,confirmed
56,3446,New York,2025-04-06,2025-05-04,395.87,EUR,cancelled
57,5179,Washington,2025-12-12,2026-01-21,103.58,USD,pending
58,2263,Los Angeles,2025-01-25,2025-02-27,1815.27,EUR,pending
59,4353,Chicago,2025-11-08,2025-12-01,418.54,EUR,pending
60,3817,Washington,2025-10-15,2025-10-24,1117.69,EUR,cancelled
61,3391,New York,2025-11-25,2026-01-07,1532.83,GBP,confirmed
62,1609,Seattle,2026-01-01,2026-01-20,402.66,GBP,pending
63,8518,Chicago,2025-07-10,2025-08-10,624.6,USD,confirmed
64,3255,Seattle,2025-03-01,2025-03-02,1737.7,EUR,pending
65,2049,Seattle,2025-01-26,2025-02-17,855.17,EUR,cancelled
66,3709,New York,2025-12-11,2026-01-27,929.68,USD,cancelled
67,2511,Chicago,2025-03-05,2025-04-27,937.1,EUR,pending
68,8677,Chicago,2025-04-21,2025-05-21,1141.2,EUR,cancelled
69,8187,New York,2025-10-17,2025-12-12,1522.38,USD,confirmed
70,2045,Los Angeles,2025-01-23,2025-03-10,1048.69,USD,pending
71,4127,Los Angeles,2025-01-11,2025-03-11,1906.44,GBP,pending
72,8447,Chicago,2025-06-09,2025-07-15,1633.14,GBP,cancelled
73,1007,New York,2025-01-07,2025-02-12,813.13,EUR,confirmed
74,8263,Los Angeles,2025-06-19,2025-08-08,808.98,USD,cancelled
75,2849,Seattle,2025-01-14,2025-02-28,849.02,EUR,confirmed
76,3514,Chicago,2025-04-02,2025-05-17,1058.09,USD,pending
77,5348,New York,2025-09-01,2025-10-29,676.73,GBP,cancelled
78,4536,Seattle,2025-05-13,2025-06-01,1983.92,EUR,pending
79,3319,Seattle,2025-08-03,2025-08-11,1754.07,USD,confirmed
80,4321,Washington,2025-11-30,2025-12-12,675.38,GBP,pending
81,2160,Miami,2025-05-22,2025-07-17,567.6,USD,pending
82,4205,Chicago,2025-08-29,2025-10-23,1519.59,GBP,confirmed
83,2237,Washington,2025-05-28,2025-07-05,1692.4,USD,confirmed
84,8523,Washington,2025-11-22,2025-12-30,445.08,GBP,cancelled
85,1560,Miami,2025-05-04,2025-05-07,696.19,EUR,pending
86,9684,Los Angeles,2025-09-12,2025-11-01,741.08,GBP,pending
87,4447,New York,2025-04-28,2025-05-16,1477.76,GBP,cancelled
88,6092,Washington,2025-01-18,2025-02-17,291.61,EUR,pending
89,4117,Washington,2025-12-16,2026-02-13,426.68,EUR,pending
90,7757,Los Angeles,2025-03-01,2025-04-16,1584.08,EUR,cancelled
91,2699,New York,2025-01-04,2025-01-16,517.45,GBP,confirmed
92,1884,Los Angeles,2025-09-06,2025-10-15,983.84,GBP,cancelled
93,3846,Seattle,2025-03-08,2025-04-03,1152.21,USD,cancelled
94,3069,Washington,2025-10-11,2025-10-29,632.19,USD,pending
95,8923,Miami,2025-08-17,2025-08-22,135.83,EUR,pending
96,4016,Washington,2025-03-10,2025-03-29,1186.35,USD,pending
97,8162,Chicago,2025-02-19,2025-04-13,1270.9,USD,confirmed
98,3606,New York,2025-09-20,2025-10-18,1620.47,GBP,cancelled
99,9541,Washington,2025-09-05,2025-09-14,954.44,EUR,pending
100,9819,Los Angeles,2025-09-20,2025-10-27,1898.91,EUR,cancelled
101,4535,Miami,2025-06-19,2025-07-21,1388.18,USD,cancelled
102,3459,Seattle,2025-01-12,2025-02-27,771.34,EUR,cancelled
103,3353,Miami,2025-05-17,2025-05-25,1664.78,USD,pending
104,1322,Chicago,2025-07-02,2025-08-04,167.87,GBP,cancelled
105,8529,Washington,2025-11-15,2026-01-07,1271.44,USD,pending
106,5455,Chicago,2025-02-15,2025-03-23,1505.92,GBP,cancelled
107,1511,Chicago,2025-07-10,2025-08-24,765.35,EUR,confirmed
